"Fix crash with MathRichEditBox on x86","![image](https://user-images.githubusercontent.com/1226538/70317279-4ec00700-17d2-11ea-810d-29e58e8f148a.png)x86 uses the wrong calling convention when calling SetMath, GetMath, SetMathMode, making the application crash when it tries to clean the stack (already cleaned by the function).### Description of the changes:- Add `__stdcall` to functions from `ITextDocument4` to force the calling convention.Note: other modifications aren't necessary but it makes the code a little closer to the SDK.### How changes were validated:- manually","open","853","null","[object Object]","null"
"Update GraphingCalculator Mock and Nuget to allow official builds","## Fixes part of #338 .### Description of the changes:- Updated the MockGraphingImpl project to be called GraphingImpl- Updated the nuget.config to include the WindowsApps Microsoft feed-### How changes were validated:<!--Review https://github.com/Microsoft/calculator/blob/master/CONTRIBUTING.md and ensure all contributing requirements are met.Specify how you tested your changes (i.e. manual/ad-hoc testing, automated testing, new automated tests added)-->- Tested manually","open","852","mcooley","[object Object]","null"
"Inconsistent operand order for logarithm to base x","- Behavior of logarithm to base xThe first operand entered (or previous result) is the base, the second operator is the anti-logarithm (i.e. the number of which the logarithm is calculated).e.g.: '16   base log   2" yields 0.25 instead of the expected value 4.- Behavior of similar operatorsFor exponentiation (x<sup>y</sup>) the first operand is the base and the second operand is the exponent.For the n-th root (x<sup>1/y</sup>) the first operand is the radicand and the second operand is the index.The behavior of the logarithm (log<sub>x</sub>(y)) is inconsistent to similar binary operators and also to the GUI, which shows log<sub>y</sub>(x). Furthermore this behavior does not allow to take the logarithm to base x of a previous result.","open","851","null","[object Object]","null"
"Refactoring LocalizationSettings","## Fixes #849.### Description of the changes:- Provided public constructor taking a DecimalFormatter for unit testing specific locales.- Changed m_resolvedName to be a Platform::String ^ so it doesn't need to create a new one each time.- Used algorithms over raw loops.- Return strings of a single character created by constructor instead of constructor and push_back call.### How changes were validated:- Added unit tests for much of LocalizatonSettings.","open","850","rudyhuyn","","null"
"LocalizationSettings.h could use code clean up and unit tests","- LocalizationSettings.h doesn't currently have unit tests.- There are many instances where an algorithm such as find or copy can be used instead of manual implementations.- m_resolvedName can be changed to be a Platform::String to prevent the need to create a new one each time GetLocaleName is called.- GetDecimalSeparatorStr and GetNumberGroupingSeparatorStr could be made more efficient by using the constructor taking a wchar_t instead of default constructing a string and pushing back a character.","open","849","null","[object Object]","null"
"Hide or Disable graphing calculator menu item when necessary","Hide the graphing calculator menu item when the OS doesn't support the feature or disable it when a group policy is set.## Description of the changes:- Hide the Graphing Calculator menu when running Windows versions prior to Vibranium- Disable the Graphing Calculator menu when a group policy is set - Switch to the default view (Standard mode) when Graphing Calculator was the last used feature but the feature was disable later by the group policy- modify accelerator keys of Programmer mode and Date Calculation if the Graphing Calculator menu item is visible or not (`3 and 4` or `4 and 5`)Also:- simplify `NavCategory` class- remove NavCategory::Position (never used)### How changes were validated:- manually","open","848","EriWong","[object Object]","null"
"Add Graph Settings","Adds a settings button which controls a flyout panel allowing the user to control the graph extents and the trig unit mode.### Description of the changes:New control--### How changes were validated:<!--Review https://github.com/Microsoft/calculator/blob/master/CONTRIBUTING.md and ensure all contributing requirements are met.Specify how you tested your changes (i.e. manual/ad-hoc testing, automated testing, new automated tests added)-->Manual, build debug/release.","open","847","null","[object Object]","null"
"Remove adjustment from local time","## Fixes #792.### Description of the changes:It looks like the CalendarDatePicker control now provides a UTC Date as the value, making it so the conditions in #557 do not apply anymore. The conversion from local time actually pushes the date forward a day. Changes due to #557 are reverted here.### How changes were validated:<!--Review https://github.com/Microsoft/calculator/blob/master/CONTRIBUTING.md and ensure all contributing requirements are met.Specify how you tested your changes (i.e. manual/ad-hoc testing, automated testing, new automated tests added)-->Tested Manually","open","834","rudyhuyn","[object Object],[object Object]","null"
"Remove EquationTextBox from KeyGraphFeaturesPanel","### Description of the changes:- Replace the templatized EquationTextBox in KeyGraphFeaturesPanel with a MathTextBoxAlso:- Give focus to the back button when the user opens the panel- move styles only used by Graph Calculator from App.xaml.cs to EquationInputArea/GraphingCalculator to improve startup time- NIT: make the names of events used by the EquationInputArea control uniform.- simplify KeyGraphFeaturesPanel- simplify the XAML code of the toggle button used in EquationTextBox### How changes were validated:- manually","open","833","joseartrivera","[object Object],[object Object]","null"
"GraphControl: refactoring and optimizations","### Description of the changes:Full refactoring of `Equation` to use only normal properties instead of dependency propertiesRefactor GraphingControl- The EquationViewModel used for KeyGraphFeatures is now hosted by `GraphingCalculatorViewModel` instead of `GraphControl`Refactor VariableViewModel to not use PropertyChanged as an internal event  - modify Min and Max even when Value is modified using the property  - remove OBSERVABLE_OBJECT_CALLBACK(OnPropertyChanged)  - replace the property `Value` and the method `SetValue`  - replace OBSERVABLE_PROPERTY_RW_ALWAYS_NOTIFY by OBSERVABLE_PROPERTY_RW  - extract `VariableViewModel` from `GraphingCalculatorViewModel.cpp`Also- use a `Color` instead of a `SolidColorBrush` for LineColor allowing us to remove the workaround using a blankBrush in `EquationInputArea`        equationViewModel->LineColor = AvailableColors->GetAt(m_lastLineColorIndex);- extract `KeyGraphFeatures` from `Equation`- made many properties read-only- rename `EquationInputAreaControl.EquationVM` as `EquationInputAreaControl.SelectedEquation`- replace `GraphControl::PropertyChangedEventHandler` by the standard `PropertyChangedEventHandler`### How changes were validated:- manually","open","831","joseartrivera","[object Object]","null"
"High contrast","Set the colors for the elements of Graphing Calculator in high contrast mode.","open","832","rudyhuyn","[object Object]","null"
"[Graph] Replace the Add button by a EquationTextBlock","## Description of the changes:- Replace the Add button by a 'ghost" EquationTextBlock- Automatically create a new equation when     - the user presses Enter when the last EquationTextBox is focused    - the last EquationTextBox loses the focus and the value has been modified- Give the focus to the next equation when users press enterAlso- Make sure the background of the `RichEditBox` is aligned with the Function Button- Prevent the user to remove the `fake` `EquationTextBlock` ### How changes were validated:- Manually with all themes and high contrast","open","826","joseartrivera","[object Object]","null"
"Fix prefix 0s after deleting decimal point","## Fixes #817 .### Description of the changes:- Added a verification if the remaining data is 0 only, and then pop this 0 out.- 2 Tests corresponding### How changes were validated:<!--Review https://github.com/Microsoft/calculator/blob/master/CONTRIBUTING.md and ensure all contributing requirements are met.Specify how you tested your changes (i.e. manual/ad-hoc testing, automated testing, new automated tests added)-->- Added an `UITest` and an `UnitTest`Additional note: My respond may delay because I can't use git(hub) on weekdays.","open","825","rudyhuyn","[object Object],[object Object]","null"
