"[FEATURE] Transformer class in utils_nlp/transformers/common.py should support dataloader which doesn't have len function defined","### Description<!--- Describe your expected feature in detail -->### Expected behavior with the suggested feature<!--- For example:  --><!--- *Adding algorithm xxx will help people understand more about xxx use case scenarios. -->### Other Comments","open","512","null","[{'id':1305965080,'node_id':'MDU6TGFiZWwxMzA1OTY1MDgw','url':'https://api.github.com/repos/microsoft/nlp-recipes/labels/enhancement','name':'enhancement','color':'a2eeef','default':true,'description':'New feature or request'}]","null"
"[ASK] Missing CONTRIBUTING.md","### DescriptionThe PR form requests that users inspect the https://github.com/microsoft/nlp-recipes/CONTRIBUTING.md guide, but the file does not exist.","open","511","null","[]","null"
"Azure AutoML NLP details added to README.md","### DescriptionAdded details on how Azure Automated Machine Learning handles NLP tasks.### Related Issues<!--- If it fixes an open issue, please link to the issue here. -->### Checklist:<!--- Go over all the following points, and put an `x` in all the boxes that apply. --><!--- If you're unsure about any of these, don't hesitate to ask. We're here to help! -->- [x] My code follows the code style of this project, as detailed in our [contribution guidelines](../CONTRIBUTING.md).- [ ] I have added tests.- [ ] I have updated the documentation accordingly.","open","510","null","[]","null"
"Bug fix for Issue #501","### Description<!--- Describe your changes in detail --><!--- Why is this change required? What problem does it solve? -->Bug fix for Issue #501  .Huggingface has a break change for the function `WarmupLinearSchedule`, it's been renamed to `get_linear_schedule_with_warmup` and also renamed the parameters. ### Related Issues<!--- If it fixes an open issue, please link to the issue here. -->### Checklist:<!--- Go over all the following points, and put an `x` in all the boxes that apply. --><!--- If you're unsure about any of these, don't hesitate to ask. We're here to help! -->- [ ] My code follows the code style of this project, as detailed in our [contribution guidelines](../CONTRIBUTING.md).- [ ] I have added tests.- [ ] I have updated the documentation accordingly.","open","509","null","[]","null"
"[BUG] Question Answering unit tests fail on gpu testing machine","### Description<!--- Describe your bug in detail -->tests/unit/test_models_transformers_question_answering.py succeeds on DSVM, but fails on gpu testing machine. ```tests/unit/test_common_pytorch_utils.py ......                           [ 54%]tests/unit/test_models_transformers_question_answering.py .F..           [ 90%]tests/unit/test_transformers_sequence_classification.py .                [100%]=================================== FAILURES ===================================_____________________________ test_AnswerExtractor _____________________________qa_test_data = {'test_dataset': <utils_nlp.models.transformers.datasets.QADataset object at 0x7f1447bbe828>, 'test_features_bert': <t...ject at 0x7f1446a0c780>, 'test_features_xlnet': <torch.utils.data.dataloader.DataLoader object at 0x7f14469bfd30>, ...}tmp_module = '/tmp/pytest-of-nlpadmin/pytest-1011/tmpnzdwdt1d'    @pytest.mark.gpu    def test_AnswerExtractor(qa_test_data, tmp_module):        # test bert        qa_extractor_bert = AnswerExtractor(cache_dir=tmp_module)>       qa_extractor_bert.fit(qa_test_data['train_features_bert'], cache_model=True)tests/unit/test_models_transformers_question_answering.py:197: _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ utils_nlp/models/transformers/question_answering.py:551: in fit    seed=seed,utils_nlp/models/transformers/common.py:174: in fine_tune    outputs = self.model(**inputs)/data/anaconda/envs/nlp_gpu/lib/python3.6/site-packages/torch/nn/modules/module.py:547: in __call__    result = self.forward(*input, **kwargs)_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ self = DataParallel(  (module): BertForQuestionAnswering(    (bert): BertModel(      (embeddings): BertEmbeddings(       ...)        (activation): Tanh()      )    )    (qa_outputs): Linear(in_features=768, out_features=2, bias=True)  ))inputs = ()kwargs = {'attention_mask': tensor([[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,         1, 1, 1, ... 0,             0,     0,     0,     0]], device='cuda:1'), 'start_positions': tensor([ 0, 17], device='cuda:1'), ...}t = Parameter containing:tensor([[-0.0005, -0.0416,  0.0131,  ..., -0.0039, -0.0335,  0.0150],        [ 0.0169, -0.0311,...18],        [ 0.0313, -0.0297, -0.0230,  ..., -0.0145, -0.0525,  0.0284]],       device='cuda:1', requires_grad=True)    def forward(self, *inputs, **kwargs):        if not self.device_ids:            return self.module(*inputs, **kwargs)            for t in chain(self.module.parameters(), self.module.buffers()):            if t.device != self.src_device_obj:                raise RuntimeError('module must have its parameters and buffers '                                   'on device {} (device_ids[0]) but found one of '>                                  'them on device: {}'.format(self.src_device_obj, t.device))E               RuntimeError: module must have its parameters and buffers on device cuda:0 (device_ids[0]) but found one of them on device: cuda:1```### How do we replicate the bug?<!--- Please be specific as possible (use a list if needed). --><!--- For example: --><!--- * Create a conda environment for gpu --><!--- * Run unit test `test_timer.py` --><!--- * ... -->### Expected behavior (i.e. solution)<!--- For example:  --><!--- * The tests for the timer should pass successfully. -->### Other Comments","open","502","hlums","[{'id':1305965078,'node_id':'MDU6TGFiZWwxMzA1OTY1MDc4','url':'https://api.github.com/repos/microsoft/nlp-recipes/labels/bug','name':'bug','color':'d73a4a','default':true,'description':'Something isn't working'}]","null"
"[BUG] Can not import WarmupLinearSchedule from transformers","### Description<!--- Describe your bug in detail -->In the latest huggingface transformers 2.2.0, WarmupLinearSchedule no longer exists. This caused error in tests: ```E           papermill.exceptions.PapermillExecutionError: E           ---------------------------------------------------------------------------E           Exception encountered at 'In [1]':E           ---------------------------------------------------------------------------E           ImportError                               Traceback (most recent call last)E           <ipython-input-1-14cd61902c6c> in <module>E                 7 from utils_nlp.common.timer import TimerE                 8 from sklearn.metrics import classification_reportE           ----> 9 from utils_nlp.models.transformers.sequence_classification import SequenceClassifierE                10 E                11 from utils_nlp.dataset import multinliE           E           /data/home/nlpadmin/myagent/_work/14/s/utils_nlp/models/transformers/sequence_classification.py in <module>E                25 )E                26 from utils_nlp.common.pytorch_utils import get_deviceE           ---> 27 from utils_nlp.models.transformers.common import MAX_SEQ_LEN, TOKENIZER_CLASS, TransformerE                28 from utils_nlp.models.transformers.datasets import SCDataSet, SPCDataSetE                29 E           E           /data/home/nlpadmin/myagent/_work/14/s/utils_nlp/models/transformers/common.py in <module>E                12 import torchE                13 from tqdm import tqdm, trangeE           ---> 14 from transformers import AdamW, WarmupLinearScheduleE                15 from transformers.modeling_bert import BERT_PRETRAINED_MODEL_ARCHIVE_MAPE                16 from transformers.modeling_distilbert import DISTILBERT_PRETRAINED_MODEL_ARCHIVE_MAPE           E           ImportError: cannot import name 'WarmupLinearSchedule'```I created #500 to temporarily pin the version of transformers to 2.1.1 which still has WarmupLinearSchedule. ### How do we replicate the bug?<!--- Please be specific as possible (use a list if needed). --><!--- For example: --><!--- * Create a conda environment for gpu --><!--- * Run unit test `test_timer.py` --><!--- * ... -->### Expected behavior (i.e. solution)<!--- For example:  --><!--- * The tests for the timer should pass successfully. -->### Other Comments","open","501","kehuangms","[{'id':1305965078,'node_id':'MDU6TGFiZWwxMzA1OTY1MDc4','url':'https://api.github.com/repos/microsoft/nlp-recipes/labels/bug','name':'bug','color':'d73a4a','default':true,'description':'Something isn't working'}]","null"
"[ASK] [tc_multi_languages_transformers.ipynb] temporary data directory and cache directory are not deleted after the notebook run","### DescriptionThe temporary directories should be deleted after the notebook run is finished.### Other Commentsconsider https://security.openstack.org/guidelines/dg_using-temporary-files-securely.html","open","495","kehuangms","[{'id':1305965078,'node_id':'MDU6TGFiZWwxMzA1OTY1MDc4','url':'https://api.github.com/repos/microsoft/nlp-recipes/labels/bug','name':'bug','color':'d73a4a','default':true,'description':'Something isn't working'}]","null"
"update text classification (BERT + AML) notebook to transformers","### Description[TC example](https://github.com/microsoft/nlp-recipes/blob/master/examples/text_classification/tc_bert_azureml.ipynb).Replace *utils_nlp.models.bert.sequence_classificationdependencies* with *utils_nlp.models.transformers.sequence_classification* dependencies","open","492","kehuangms","[{'id':1305965080,'node_id':'MDU6TGFiZWwxMzA1OTY1MDgw','url':'https://api.github.com/repos/microsoft/nlp-recipes/labels/enhancement','name':'enhancement','color':'a2eeef','default':true,'description':'New feature or request'}]","null"
"[ASK] Add Languages to all the scenarios","### DescriptionAdd languages to all scenario tables### Other Comments","open","484","null","[{'id':1498913769,'node_id':'MDU6TGFiZWwxNDk4OTEzNzY5','url':'https://api.github.com/repos/microsoft/nlp-recipes/labels/release-blocker','name':'release-blocker','color':'c2e0c6','default':false,'description':''}]","null"
"Warnings when setting up on an AzureML notebook","### DescriptionWarnings when setting up on an AzureML notebook### In which platform does it happen?Azure ML Notebooks### How do we replicate the issue?Setting up the conda environment as per the setup.md file### Expected behavior (i.e. solution)I get these warnings:ERROR: allennlp 0.9.0 has requirement pytorch-transformers==1.1.0, but you'll have pytorch-transformers 1.2.0 which is incompatible.ERROR: allennlp 0.9.0 has requirement spacy<2.2,>=2.1.0, but you'll have spacy 2.2.2 which is incompatible.ERROR: azureml-automl-core 1.0.57 has requirement azureml-dataprep<1.2.0a,>=1.1.10a, but you'll have azureml-dataprep 1.1.8 which is incompatible.ERROR: azureml-automl-core 1.0.57 has requirement numpy<=1.16.2,>=1.11.0, but you'll have numpy 1.17.2 which is incompatible.ERROR: azureml-automl-core 1.0.57 has requirement scipy<=1.1.0,>=1.0.0, but you'll have scipy 1.3.1 which is incompatible.ERROR: azureml-train-automl 1.0.57 has requirement azureml-dataprep<1.2.0a,>=1.1.10a, but you'll have azureml-dataprep 1.1.8 which is incompatible.ERROR: azureml-train-automl 1.0.57 has requirement numpy<=1.16.2,>=1.11.0, but you'll have numpy 1.17.2 which is incompatible.ERROR: azureml-train-automl 1.0.57 has requirement scipy<=1.1.0,>=1.0.0, but you'll have scipy 1.3.1 which is incompatible.ERROR: papermill 1.2.1 has requirement tqdm>=4.32.2, but you'll have tqdm 4.31.1 which is incompatible.ERROR: azureml-sdk 1.0.57 has requirement azureml-dataprep<1.2.0a,>=1.1.10a, but you'll have azureml-dataprep 1.1.8 which is incompatible.ERROR: azureml-mlflow 1.0.72.1 has requirement azureml-core==1.0.72.*, but you'll have azureml-core 1.0.57.1 which is incompatible.### Other Comments","open","465","null","[]","null"
